,username,name,tweet
28,kixlac,KIX LAC Hub América Latina y el Caribe,"⭐Save the date and REGISTER NOW 👉🏼  https://t.co/izxCyGPZr9 ⭐ We are waiting for you next May 31 and June 01 at the 2nd @KixLac Conference ""Education in Post-Pandemic. How has the teaching work been affected?"".  ✅ Free online event. ✅ Translation in Spanish, English &amp; French.  https://t.co/7pcaYmMkuL"
29,thirteenwnet,THIRTEEN,How do you think virtual learning might play a part in students' education after the pandemic? #AmericanCitiesRebuilding  https://t.co/uYZOn1giCZ
30,msuvets,MSU Veterinary Medicine,"The MSU veterinary and veterinary nursing graduates, having completed their education amid a pandemic that reminded the world of the critical intersection of human and animal health, bring an undeniably valuable perspective to the game. #SpartanGrad22  https://t.co/xWgGEApJj6  https://t.co/PLpjboTYRE"
31,swarr22,Steven Warr,"Children are having psychological issues and are far behind in their education, especially in math during covid. This is all caused by teachers who refused to be in school during the pandemic. This was on Fox's Greg Gutfeld show. What do you think?"
32,abettermn,A Better Minnesota,@BirkMatt @deanbphillips You know what isn’t going to help students catch back up from the pandemic? You and all your conservative friends massively underfunding education &amp; shortchanging students and teachers. #mngov
33,gloriaxfiles,Glow ✨,@Oddieven Results of:   1. Lack of information/Proper education 2. Gullible population  3. Greedy politicians  4. Non-existence of policies  5. No planning whatsoever   and of course adding to this was the pandemic resulting in the overall wounded economy   Sigh! ah well… 😔
34,a_push_writer,Amanda Push,"The pandemic was unkind to everything in its path --higher education included. College enrollment is down 3% nationwide, and states like Wyoming, Alaska, and Delaware got it the worst.  https://t.co/2aWuQfzO2u"
35,gumbopac,GumboPAC,"“Not only did auto insurers overcharge Illinois drivers early in the pandemic, they are now trying to keep us in the dark about just how much they overcharged us,” said Illinois PIRG Education Fund Director Abe Scarr. #lagov #lalege  https://t.co/mIELPoV2mX"
36,icl077,Mtoni Education Development Organization,COVID-19 is one of the greatest crises most countries have seen in generations.  A new report by @WorldBank and @UNICEFSocPolicy shows that at least 2/3 of households with children have lost income since the COVID-19 pandemic hit. Read more:  https://t.co/tZ6vOlK2uM  https://t.co/JsXHm8eJsK
37,techrownyc,TechRow,"If before the pandemic outbreak we might not have been so aware of the impact of technology on education, now we can be sure of it  Technology and the Future of Higher Education  https://t.co/2gwJQHfpuT  https://t.co/Xl9go9vKLB"
38,dalsohi,Dal Sohi,"As we approach the third year of the pandemic, it’s crucial that teachers and students have the opportunity to reset for the school year ahead. #Teaching #School #Education  https://t.co/BKlsFUv9DH"
39,group_kq,KQ education group,The pandemic’s main lessons for restaurants? Flexibility and preparation  https://t.co/7K5ZMrkJth
40,marketscafe,Market’s Cafe,West Bengal Colleges Go Online Again After State Governments Diktat Over Heat Online education system picked up in India as well as in other countries soon after the Covid-19 pandemic hit the world #India by #News18  https://t.co/jaCkcU7E5P
